Site_Code,Collect Date (local),Water Temperature (�,E = Estimate; W = Warning; P = Provisional
31D3,4/3/2022,9.73,
31D3,4/4/2022,9.29,
31D3,4/5/2022,8.8,
31D3,4/6/2022,9.35,
31D3,4/7/2022,11.38,
31D3,4/8/2022,11.72,
31D3,4/9/2022,9.85,
31D3,4/10/2022,8.68,
31D3,4/11/2022,8.39,
31D3,4/12/2022,8.15,
31D3,4/13/2022,7.28,
31D3,4/14/2022,7.51,
31D3,4/15/2022,8.09,
31D3,4/16/2022,7.85,
31D3,4/17/2022,8.44,
31D3,4/18/2022,9.34,
31D3,4/19/2022,9.09,
31D3,4/20/2022,8.61,
31D3,4/21/2022,9.44,
31D3,4/22/2022,9.84,
31D3,4/23/2022,11.12,
31D3,4/24/2022,11.54,
31D3,4/25/2022,11.57,
31D3,4/26/2022,10.3,
31D3,4/27/2022,10.21,
31D3,4/28/2022,10.2,
31D3,4/29/2022,10.87,
31D3,4/30/2022,12.28,
31D3,5/1/2022,12.36,
31D3,5/2/2022,12.15,
31D3,5/3/2022,11.69,
31D3,5/4/2022,12.17,
31D3,5/5/2022,12.21,
31D3,5/6/2022,11.56,
31D3,5/7/2022,11.68,
31D3,5/8/2022,11.38,
31D3,5/9/2022,11.61,
31D3,5/10/2022,11.58,
31D3,5/11/2022,11.96,
31D3,5/12/2022,11.41,
31D3,5/13/2022,11.36,
31D3,5/14/2022,12.15,
31D3,5/15/2022,13.13,
31D3,5/16/2022,13.74,
31D3,5/17/2022,12.79,
31D3,5/18/2022,12.71,
31D3,5/19/2022,12.17,
31D3,5/20/2022,11.64,
31D3,5/21/2022,12.34,
31D3,5/22/2022,13.21,
31D3,5/23/2022,14.05,
31D3,5/24/2022,13.84,
31D3,5/25/2022,14.13,
31D3,5/26/2022,14.55,
31D3,5/27/2022,14.55,
31D3,5/28/2022,13.63,
31D3,5/29/2022,12.87,
31D3,5/30/2022,12.24,
31D3,5/31/2022,13.04,
31D3,6/1/2022,14.3,
31D3,6/2/2022,15.17,
31D3,6/3/2022,15.55,
31D3,6/4/2022,15.87,
31D3,6/5/2022,16.3,
31D3,6/6/2022,15.38,
31D3,6/7/2022,15.11,
31D3,6/8/2022,15.8,
31D3,6/9/2022,15.52,
31D3,6/10/2022,15.87,
31D3,6/11/2022,15.86,
31D3,6/12/2022,14.95,
31D3,6/13/2022,13.56,
31D3,6/14/2022,13.36,
31D3,6/15/2022,13.7,
